epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,2466.28,1.09593,1.09804,0.00748,0.66553,0.62267,0.6546,0.46285,1.12858,1.35043,0.01041,0.0005875,0.0005875,0.0005875
127,2486.5,1.102,1.09622,0.00736,0.68993,0.60912,0.65572,0.4645,1.12408,1.35391,0.01033,0.0005842,0.0005842,0.0005842
128,2506.78,1.1044,1.09587,0.00736,0.69145,0.61116,0.65591,0.46316,1.1229,1.34108,0.01032,0.0005809,0.0005809,0.0005809
129,2526.57,1.0959,1.09812,0.00749,0.69765,0.60722,0.65658,0.4665,1.12154,1.34979,0.01033,0.0005776,0.0005776,0.0005776
130,2546.07,1.09854,1.08459,0.00732,0.70291,0.60858,0.66268,0.46974,1.12492,1.34248,0.01035,0.0005743,0.0005743,0.0005743
131,2565.04,1.09741,1.07847,0.00738,0.69718,0.60987,0.65965,0.46998,1.11765,1.34742,0.01027,0.000571,0.000571,0.000571
132,2584.1,1.09752,1.08817,0.00752,0.68441,0.62237,0.66007,0.46503,1.12386,1.34279,0.01035,0.0005677,0.0005677,0.0005677
133,2603.39,1.09516,1.06323,0.00733,0.68352,0.6199,0.65916,0.46438,1.12138,1.34084,0.01031,0.0005644,0.0005644,0.0005644
134,2622.43,1.09299,1.05699,0.00743,0.68279,0.61821,0.6593,0.46462,1.12871,1.33309,0.01033,0.0005611,0.0005611,0.0005611
135,2641.96,1.09856,1.07779,0.00728,0.6742,0.60979,0.65187,0.46255,1.12698,1.35277,0.01031,0.0005578,0.0005578,0.0005578
136,2661.55,1.10038,1.06236,0.00737,0.66769,0.64218,0.65958,0.46684,1.12758,1.34494,0.01028,0.0005545,0.0005545,0.0005545
137,2681.18,1.09196,1.05978,0.00733,0.67294,0.62322,0.65765,0.46676,1.12801,1.33285,0.01037,0.0005512,0.0005512,0.0005512
138,2700.57,1.09888,1.06087,0.00743,0.69466,0.61677,0.65674,0.46565,1.13039,1.34699,0.0104,0.0005479,0.0005479,0.0005479
139,2720.28,1.08678,1.05781,0.00731,0.71114,0.61376,0.65506,0.46431,1.12835,1.3418,0.01036,0.0005446,0.0005446,0.0005446
140,2739.87,1.0999,1.0691,0.00734,0.72274,0.61921,0.65841,0.46652,1.12735,1.33601,0.01038,0.0005413,0.0005413,0.0005413
141,2759.42,1.08508,1.04719,0.00742,0.70752,0.62055,0.65424,0.46049,1.13236,1.34072,0.01042,0.000538,0.000538,0.000538
142,2779.33,1.08913,1.05038,0.00731,0.72371,0.60492,0.66221,0.46464,1.13082,1.33955,0.01042,0.0005347,0.0005347,0.0005347
143,2799.46,1.08938,1.04651,0.00734,0.69383,0.62342,0.66638,0.46932,1.13232,1.32658,0.01044,0.0005314,0.0005314,0.0005314
144,2819.72,1.07891,1.03985,0.00734,0.69132,0.62399,0.6644,0.46698,1.13594,1.32933,0.01041,0.0005281,0.0005281,0.0005281
145,2839.64,1.0852,1.03898,0.0073,0.68342,0.62203,0.65781,0.46443,1.13424,1.33257,0.0104,0.0005248,0.0005248,0.0005248
146,2859.65,1.08995,1.04291,0.00736,0.69116,0.63733,0.66529,0.476,1.13498,1.32492,0.01043,0.0005215,0.0005215,0.0005215
147,2879.37,1.10133,1.04539,0.00736,0.74091,0.61248,0.66902,0.47271,1.13519,1.32169,0.01042,0.0005182,0.0005182,0.0005182
148,2898.62,1.08799,1.02925,0.0074,0.73187,0.6161,0.66964,0.4724,1.13652,1.32815,0.01045,0.0005149,0.0005149,0.0005149
149,2917.9,1.0929,1.03192,0.00735,0.70382,0.62271,0.66446,0.46784,1.13929,1.30824,0.01047,0.0005116,0.0005116,0.0005116
150,2937.36,1.08338,1.02226,0.00717,0.67432,0.6386,0.66483,0.4668,1.14157,1.3091,0.01051,0.0005083,0.0005083,0.0005083
151,2956.97,1.09087,1.02038,0.00724,0.70856,0.62114,0.66832,0.46883,1.13947,1.31504,0.01052,0.000505,0.000505,0.000505
152,2976.66,1.08177,1.01416,0.00735,0.71534,0.62264,0.6658,0.46905,1.13831,1.31396,0.01052,0.0005017,0.0005017,0.0005017
153,2996.79,1.08254,1.00966,0.00737,0.70999,0.62472,0.66423,0.4677,1.1419,1.3097,0.01052,0.0004984,0.0004984,0.0004984
154,3016.83,1.07849,1.02008,0.00727,0.67616,0.63372,0.66671,0.46881,1.13532,1.30834,0.01049,0.0004951,0.0004951,0.0004951
155,3037.22,1.09303,1.02033,0.00726,0.66644,0.63655,0.66127,0.46253,1.13648,1.31265,0.01045,0.0004918,0.0004918,0.0004918
156,3057.52,1.09083,1.01937,0.00731,0.74095,0.59653,0.6631,0.46866,1.13232,1.32173,0.01037,0.0004885,0.0004885,0.0004885
157,3078,1.08699,1.01999,0.00717,0.7319,0.59627,0.66341,0.4689,1.1355,1.31121,0.01039,0.0004852,0.0004852,0.0004852
158,3098.51,1.09131,1.01537,0.0073,0.71049,0.61825,0.66291,0.46529,1.13672,1.31192,0.01049,0.0004819,0.0004819,0.0004819
159,3118.83,1.09147,0.99671,0.00736,0.70487,0.62071,0.66174,0.46685,1.1403,1.31779,0.01051,0.0004786,0.0004786,0.0004786
160,3139.14,1.09272,1.00521,0.00727,0.723,0.59375,0.66443,0.46851,1.14038,1.31579,0.01051,0.0004753,0.0004753,0.0004753
161,3159.38,1.07834,0.99168,0.00723,0.69633,0.61705,0.65824,0.46069,1.14315,1.3041,0.01056,0.000472,0.000472,0.000472
162,3179.66,1.08396,0.99807,0.00725,0.67263,0.63239,0.66681,0.47017,1.13595,1.3081,0.01045,0.0004687,0.0004687,0.0004687
163,3199.86,1.08064,0.99184,0.00717,0.69091,0.62734,0.66358,0.46672,1.13625,1.31619,0.01044,0.0004654,0.0004654,0.0004654
164,3220.08,1.07478,0.99107,0.00742,0.70666,0.6021,0.65302,0.45994,1.13441,1.32814,0.01044,0.0004621,0.0004621,0.0004621
165,3240.01,1.08525,0.98861,0.00714,0.69722,0.63036,0.66102,0.4672,1.13562,1.32491,0.01042,0.0004588,0.0004588,0.0004588
166,3259.75,1.08312,0.97716,0.00713,0.68504,0.6254,0.65847,0.46583,1.14224,1.30877,0.01046,0.0004555,0.0004555,0.0004555
167,3279.84,1.08717,0.97727,0.0072,0.71026,0.60307,0.65808,0.46503,1.13588,1.30829,0.0104,0.0004522,0.0004522,0.0004522
168,3299.48,1.08621,0.99138,0.00719,0.66318,0.64163,0.65912,0.46413,1.1392,1.30194,0.01048,0.0004489,0.0004489,0.0004489
169,3319.2,1.08473,0.98332,0.00737,0.6364,0.65552,0.65582,0.46362,1.14079,1.30761,0.01047,0.0004456,0.0004456,0.0004456
170,3338.83,1.08138,0.97889,0.00717,0.67939,0.63063,0.65787,0.4639,1.14539,1.30739,0.01057,0.0004423,0.0004423,0.0004423
171,3358.11,1.07646,0.97399,0.00711,0.71015,0.60426,0.65531,0.46123,1.14571,1.29864,0.01056,0.000439,0.000439,0.000439
172,3377.49,1.07246,0.9755,0.00713,0.67366,0.64392,0.66008,0.46481,1.14713,1.29947,0.0106,0.0004357,0.0004357,0.0004357
173,3397.04,1.07411,0.97068,0.00724,0.69267,0.62974,0.66055,0.46456,1.14632,1.31392,0.01058,0.0004324,0.0004324,0.0004324
174,3416.75,1.07459,0.97313,0.00719,0.70209,0.61927,0.66069,0.4664,1.14043,1.31105,0.01047,0.0004291,0.0004291,0.0004291
175,3436.24,1.08981,0.97105,0.00726,0.66255,0.64216,0.65364,0.46099,1.14013,1.30719,0.01049,0.0004258,0.0004258,0.0004258
176,3455.75,1.07455,0.96505,0.00715,0.69257,0.63448,0.66282,0.46493,1.14558,1.29445,0.0106,0.0004225,0.0004225,0.0004225
